RMNH.AVES.257878	Dood	808.G.18	Pavo cristatus	Draadbaan	Draadbaan	03.00.0	TRUE																				Pavo cristatus	Draadbaan	03.00.0	TRUE												
RMNH.AVES.257879	Ontmoeting	802.L.001.005.02 Laag 2 - Berg / vogels	Syrmaticus reevesii	Draadbaan	Draadbaan	10.05.2	TRUE					Syrmaticus reevesii	Draadbaan	10.05.2	TRUE																											
RMNH.AVES.257880	Dinos	n/a	Phasianus colchicus	Draadbaan		04.08.3	FALSE																								Phasianus colchicus		04.08.3	FALSE								
RMNH.AVES.257882	Dinos	n/a	Columba livia	Draadbaan		04.06.3	FALSE																								Columba livia		04.06.3	FALSE								
RMNH.AVES.257883	Dinos	n/a	Columba livia	Draadbaan		04.06.3	FALSE																								Columba livia		04.06.3	FALSE								
RMNH.AVES.257884	Ontmoeting	802.L.001.006.02 Laag 2 - Berg / vogels	Struthio camelus	Draadbaan	Draadbaan	L.14	TRUE					Struthio camelus	Draadbaan	L.14	TRUE																											
RMNH.AVES.257885	Dood	808.G.28 (was G.41)	Ardea cinerea	Draadbaan	Draadbaan	03.11.3	TRUE																				Ardea cinerea	Draadbaan	03.11.3	TRUE												
RMNH.AVES.257886	Verleiding	803.V.002.C Etalage Opvallen	Tragopan blythii (Jerdon, 1870)	Draadbaan		06.05.3	TRUE									Tragopan blythii (Jerdon, 1870)		06.05.3	TRUE																							
RMNH.AVES.257887	Verleiding	803.V.002.C Etalage Opvallen	Tragopan blythii (Jerdon, 1870)	Draadbaan		06.05.3	TRUE									Tragopan blythii (Jerdon, 1870)		06.05.3	TRUE																							
RMNH.AVES.257888	Verleiding	803.V.004.C Etalage Cadeaus	Alcedo atthis	Draadbaan		06.07.3	TRUE									Alcedo atthis		06.07.3	TRUE																							
RMNH.AVES.257889	Verleiding	803.V.004.C Etalage Cadeaus	Alcedo atthis	Draadbaan		06.07.3	TRUE									Alcedo atthis		06.07.3	TRUE																							
RMNH.AVES.257890	Verleiding	803.V.002.C Etalage Opvallen	Tauraco persa	Draadbaan		06.05.2	TRUE									Tauraco persa		06.05.2	TRUE																							
RMNH.AVES.257891	Verleiding	803.V.002.C Etalage Opvallen	Erythrura gouldiae	Draadbaan		06.05.2	TRUE									Erythrura gouldiae		06.05.2	TRUE																							
RMNH.AVES.257892	Verleiding	803.V.002.C Etalage Opvallen	Coracias cyanogaster	Draadbaan		06.05.2	TRUE									Coracias cyanogaster		06.05.2	TRUE																							
RMNH.AVES.257893	Ontmoeting	802.L.001.005.02 Laag 2 - Berg / vogels	Alcedo atthis	Draadbaan	Draadbaan	10.05.2	TRUE					Alcedo atthis	Draadbaan	10.05.2	TRUE																											
RMNH.AVES.257894	Verleiding	803.V.001.C Etalage Geur	Erithacus rubecula	Draadbaan		06.04.2	TRUE									Erithacus rubecula		06.04.2	TRUE																							
RMNH.AVES.257895	Verleiding	803.N.006.C1 Nestje kijken	Dendrocopos, major (Linnaeus, 1758)	Draadbaan		06.11.1	TRUE									Dendrocopos, major (Linnaeus, 1758)		06.11.1	TRUE																							
RMNH.AVES.257896	Verleiding	803.N.006.C1 Nestje kijken	Dendrocopos, major (Linnaeus, 1758)	Draadbaan		06.11.1	TRUE									Dendrocopos, major (Linnaeus, 1758)		06.11.1	TRUE																							
RMNH.AVES.257900	Verleiding	803.N.017.C Kassa	Somateria spectabilis	Draadbaan		06.02.3	TRUE									Somateria spectabilis		06.02.3	TRUE																							
RMNH.AVES.257901	Verleiding	803.N.017.C Kassa	Somateria spectabilis	Draadbaan		06.02.3	TRUE									Somateria spectabilis		06.02.3	TRUE																							
RMNH.AVES.257902	Ontmoeting	802.L.001.005.02 Laag 2 - Berg / vogels	Gyps fulvus	Draadbaan	Draadbaan	GF-TT	FALSE					Gyps fulvus	Draadbaan	GF-TT	FALSE																											
RMNH.AVES.257903	Ontmoeting	802.L.001.001.02 Getijdenzone land / vogels	Somateria mollissima	Draadbaan	Draadbaan	12.13.2	TRUE					Somateria mollissima	Draadbaan	12.13.2	TRUE																											
RMNH.AVES.257904	Ontmoeting	802.L.001.001.02 Getijdenzone land / vogels	Gallinago gallinago	Draadbaan	Draadbaan	12.14.3	TRUE					Gallinago gallinago	Draadbaan	12.14.3	TRUE																											
RMNH.AVES.257905	Ontmoeting	802.L.001.001.02 Getijdenzone land / vogels	Spheniscus demersus	Draadbaan	Draadbaan	12.13.3	TRUE					Spheniscus demersus	Draadbaan	12.13.3	TRUE																											
RMNH.AVES.257906	Ontmoeting	802.L.001.001.02 Getijdenzone land / vogels	Haliaeetus vocifer	Draadbaan	Draadbaan	L.14	TRUE					Haliaeetus vocifer	Draadbaan	L.14	TRUE																											
RMNH.AVES.257907	Ontmoeting	802.L.001.001.02 Getijdenzone land / vogels	Actitis hypoleucos	Draadbaan	Draadbaan	12.13.2	TRUE					Actitis hypoleucos	Draadbaan	12.13.2	TRUE																											
RMNH.AVES.257908	Ontmoeting	802.L.001.001.02 Getijdenzone land / vogels	Actitis hypoleucos	Draadbaan	Draadbaan	12.13.2	TRUE					Actitis hypoleucos	Draadbaan	12.13.2	TRUE																											
RMNH.AVES.257910	Verleiding	803.N.003.C Feesttaart	Struthio camelus	Draadbaan		05.02.3	TRUE									Struthio camelus		05.02.3	TRUE																							
RMNH.AVES.257911	Verleiding	803.S.005.C2 Altijd trouw	Asio otus	Draadbaan		06.13.1	TRUE									Asio otus		06.13.1	TRUE																							
RMNH.AVES.257912	Verleiding	803.N.006.C3 Landnesten	Haematopus ostralegus	Draadbaan		06.10.2	TRUE									Haematopus ostralegus		06.10.2	TRUE																							
RMNH.AVES.257913	Verleiding	803.N.006.C3 Landnesten	Phoenicopteridae sp.	Draadbaan		06.10.2	TRUE									Phoenicopteridae sp.		06.10.2	TRUE																							
RMNH.AVES.257916	Ontmoeting	802.L.001.002.02 Rond de waterplaats 2	Ardeotis kori	Draadbaan	Draadbaan	L.15	TRUE					Ardeotis kori	Draadbaan	L.15	TRUE																											
RMNH.AVES.257917	Ontmoeting	802.L.001.002.02 Rond de waterplaats 2	Anser fabalis	Draadbaan	Draadbaan	12.12.3	TRUE					Anser fabalis	Draadbaan	12.12.3	TRUE																											
RMNH.AVES.257918	Ontmoeting	802.L.001.006.02 Laag 2 - Berg / vogels	Tetrao urogallus	Draadbaan	Draadbaan	10.08.3	TRUE					Tetrao urogallus	Draadbaan	10.08.3	TRUE																											
RMNH.AVES.257919	Ontmoeting	802.L.001.006.02 Laag 2 - Berg / vogels	Struthio camelus	Draadbaan	Draadbaan	10.08.3	TRUE					Struthio camelus	Draadbaan	10.08.3	TRUE																											
RMNH.AVES.257920	Ontmoeting	802.L.001.006.02 Laag 2 - Berg / vogels	Struthio camelus	Draadbaan	Draadbaan	10.08.3	TRUE					Struthio camelus	Draadbaan	10.08.3	TRUE																											
RMNH.AVES.257921	Verleiding	803.N.005.C1 Pappa’s	Struthio camelus	Draadbaan		GF-TT	TRUE									Struthio camelus		GF-TT	TRUE																							
RMNH.AVES.257922	Verleiding	803.V.002.C Etalage Opvallen	Icterus icterus	Draadbaan		06.05.2	TRUE									Icterus icterus		06.05.2	TRUE																							
L.2111894	Verleiding	803.N.010.C3 Letterbak 3	Leguminosa / Fabaceae	Draadbaan		05.12.1	FALSE									Leguminosa / Fabaceae		05.12.1	FALSE																							
RMNH.AVES.257924	Ontmoeting	802.L.001.005.02 Laag 2 - Berg / vogels	Erithacus rubecula	Draadbaan	Draadbaan	10.05.2	TRUE					Erithacus rubecula	Draadbaan	10.05.2	TRUE																											
RMNH.AVES.257925	Ontmoeting	802.L.001.005.02 Laag 2 - Berg / vogels	Passer domesticus	Draadbaan	Draadbaan	10.05.3	TRUE					Passer domesticus	Draadbaan	10.05.3	TRUE																											
RMNH.AVES.257926	Ontmoeting	802.L.001.005.02 Laag 2 - Berg / vogels	Passer domesticus	Draadbaan	Draadbaan	10.05.3	TRUE					Passer domesticus	Draadbaan	10.05.3	TRUE																											
RMNH.AVES.257927	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Strix aluco	Draadbaan	Draadbaan	10.04.2	TRUE					Strix aluco	Draadbaan	10.04.2	TRUE																											
RMNH.AVES.257928	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Aegolius funereus	Draadbaan	Draadbaan	10.04.2	TRUE					Aegolius funereus	Draadbaan	10.04.2	TRUE																											
RMNH.AVES.257929	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Athene noctua	Draadbaan	Draadbaan	10.04.2	TRUE					Athene noctua	Draadbaan	10.04.2	TRUE																											
RMNH.AVES.257930	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Asio flammeus	Draadbaan	draadbaan	10.04.2	TRUE					Asio flammeus	draadbaan	10.04.2	TRUE																											
RMNH.AVES.257931	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Tyto alba	Draadbaan	Draadbaan	10.04.2	TRUE					Tyto alba	Draadbaan	10.04.2	TRUE																											
RMNH.AVES.257932	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Surnia ulula	Draadbaan	Draadbaan	10.04.2	TRUE					Surnia ulula	Draadbaan	10.04.2	TRUE																											
RMNH.AVES.257933	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Asio flammeus	Draadbaan	Draadbaan	10.04.2	TRUE					Asio flammeus	Draadbaan	10.04.2	TRUE																											
RMNH.AVES.257934	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Strix aluco	Draadbaan	Draadbaan	10.04.2	TRUE					Strix aluco	Draadbaan	10.04.2	TRUE																											
RMNH.AVES.257935	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Asio otus	Draadbaan	Draadbaan	10.04.2	TRUE					Asio otus	Draadbaan	10.04.2	TRUE																											
RMNH.AVES.257936	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Asio flammeus	Draadbaan	Draadbaan	10.04.2	TRUE					Asio flammeus	Draadbaan	10.04.2	TRUE																											
RMNH.AVES.257937	Dood	808.G.35	Buteo buteo	Draadbaan	Draadbaan	03.12.2	TRUE																				Buteo buteo	Draadbaan	03.12.2	TRUE												
L.2111900	Verleiding	803.N.010.C3 Letterbak 3	tba	Draadbaan		Draadbaan	FALSE									tba		Draadbaan	FALSE																							
L.2111924	Verleiding	803.N.010.C3 Letterbak 3	tba	Draadbaan		Draadbaan	FALSE									tba		Draadbaan	FALSE																							
RMNH.AVES.257940	Ontmoeting	802.L.001.004.03 Laag 2 Landdieren	Circus bufoni	Draadbaan	Draadbaan	12.08.3	TRUE					Circus bufoni	Draadbaan	12.08.3	TRUE																											
RMNH.AVES.257941	Dood	808.G.31	Larus argentatus	Draadbaan	Draadbaan	GF-TT	FALSE																				Larus argentatus	Draadbaan	GF-TT	FALSE												
RMNH.AVES.257943	Dinos	n/a	Larus canus	Draadbaan		04.07.2	FALSE																								Larus canus		04.07.2	FALSE								
RMNH.AVES.257944	Dinos	n/a	Rissa tridactyla	Draadbaan		04.08.2	FALSE																								Rissa tridactyla		04.08.2	FALSE								
RMNH.AVES.257946	Dinos	n/a	Larus argentatus	Draadbaan		04.05.2	FALSE																								Larus argentatus		04.05.2	FALSE								
RMNH.AVES.257947	Dinos	n/a	Uria aalge	Draadbaan		04.08.2	FALSE																								Uria aalge		04.08.2	FALSE								
RMNH.AVES.257948	Dinos	n/a	Recurvirostra avosetta	Draadbaan		04.08.2	FALSE																								Recurvirostra avosetta		04.08.2	FALSE								
RMNH.AVES.257949	Dinos	n/a	Morus bassanus	Draadbaan		04.07.2	FALSE																								Morus bassanus		04.07.2	FALSE								
RMNH.AVES.257950	Dinos	n/a	Podiceps cristatus	Draadbaan		04.07.3	FALSE																								Podiceps cristatus		04.07.3	FALSE								
RMNH.AVES.257951	Dinos	n/a	Larosterna inca	Draadbaan		04.07.3	FALSE																								Larosterna inca		04.07.3	FALSE								
RMNH.AVES.257952	Dinos	n/a	Branta bernicla	Draadbaan		04.07.1	FALSE																								Branta bernicla		04.07.1	FALSE								
RMNH.AVES.257953	Dinos	n/a	Branta bernicla	Draadbaan		04.07.1	FALSE																								Branta bernicla		04.07.1	FALSE								
RMNH.AVES.257954	Dinos	n/a	Parabuteo unicinctus	Draadbaan		04.07.3	FALSE																								Parabuteo unicinctus		04.07.3	FALSE								
RMNH.AVES.257955	Dinos	n/a	Accipiter gentilis	Draadbaan		04.06.3	FALSE																								Accipiter gentilis		04.06.3	FALSE								
RMNH.AVES.257956	Dinos	n/a	Chroicocephalus ridibundus	Draadbaan		04.06.3	FALSE																								Chroicocephalus ridibundus		04.06.3	FALSE								
RMNH.AVES.257957	Dood	808.C.02 Theatrale opstelling	Corvus corax	Draadbaan	Draadbaan	GF-TT	TRUE																				Corvus corax	Draadbaan	GF-TT	TRUE												
RMNH.AVES.257958	Dood	808.C.02 Theatrale opstelling	Corvus monedula	Draadbaan	Draadbaan	GF-TT	TRUE																				Corvus monedula	Draadbaan	GF-TT	TRUE												
RMNH.AVES.257959	Dood	808.G.26	Ciconia ciconia	Draadbaan	Draadbaan	03.10.2	TRUE																				Ciconia ciconia	Draadbaan	03.10.2	TRUE												
RMNH.AVES.257960	Verleiding	803.N.010.C9 Open stukken	Loxia curvirostra	Draadbaan		05.07.2	FALSE									Loxia curvirostra		05.07.2	FALSE																							
RMNH.AVES.257961	Verleiding	803.N.010.C9 Open stukken	Loxia curvirostra	Draadbaan		05.07.2	FALSE									Loxia curvirostra		05.07.2	FALSE																							
RMNH.AVES.257962	Dood	808.C.02 Theatrale opstelling	Buteo buteo	Draadbaan	Draadbaan	GF-TT	FALSE																				Buteo buteo	Draadbaan	GF-TT	FALSE												
L.2111965	Verleiding	803.N.010.C3 Letterbak 3	tba	Draadbaan		Draadbaan	FALSE									tba		Draadbaan	FALSE																							
L.3978126	Verleiding	803.N.010.C3 Letterbak 3	Bertholletia excelsa	Draadbaan		05.11.3	FALSE									Bertholletia excelsa		05.11.3	FALSE																							
RMNH.AVES.258206	Verleiding	803.V.002.C Etalage Opvallen	Pharomachrus mocinno	Draadbaan		L.14	TRUE									Pharomachrus mocinno		L.14	TRUE																							
RMNH.AVES.258476	Verleiding	803.N.007.C1 Etagere 1	Nothoprocta ornata	Draadbaan		05.01.2	TRUE									Nothoprocta ornata		05.01.2	TRUE																							
RMNH.AVES.29648	Verleiding	803.N.006.C1 Nestje kijken	Dendrocopos, major (Linnaeus, 1758)	Draadbaan		06.11.1	TRUE									Dendrocopos, major (Linnaeus, 1758)		06.11.1	TRUE																							
RMNH.AVES.3129	Verleiding	803.N.003.C Feesttaart	Aptenodytes patagonicus	Draadbaan		05.02.3	TRUE									Aptenodytes patagonicus		05.02.3	TRUE																							
RMNH.AVES.3305	Verleiding	Ouderdieren	Aptenodytes patagonicus	Draadbaan		05.04.3	TRUE									Aptenodytes patagonicus		05.04.3	TRUE																							
L.3978142	Verleiding	803.N.010.C3 Letterbak 3	Afzelia 	Draadbaan		05.11.3	FALSE									Afzelia 		05.11.3	FALSE																							
RMNH.AVES.43081	Ontmoeting	802.L.001.005.02 Laag 2 - Berg / vogels	Corvus monedula	Draadbaan	Draadbaan	10.05.3	TRUE					Corvus monedula	Draadbaan	10.05.3	TRUE																											
RMNH.AVES.5062	Dood	808.G.17	Aegypius monachus	Draadbaan	Draadbaan	03.07.3	TRUE																				Aegypius monachus	Draadbaan	03.07.3	TRUE												
RMNH.AVES.5195	Ontmoeting	802.L.001.006.02 Laag 2 - Berg / vogels	Rhea americana	Draadbaan	Draadbaan	L.14	TRUE					Rhea americana	Draadbaan	L.14	TRUE																											
L.3978147	Verleiding	803.N.010.C3 Letterbak 3	Senna alexandrina 	Draadbaan		05.11.3	FALSE									Senna alexandrina 		05.11.3	FALSE																							
RMNH.AVES.5316	Verleiding	Ouderdieren	Struthio camelus	Draadbaan		Middenvak	FALSE									Struthio camelus		Middenvak	FALSE																							
RMNH.AVES.53329	Verleiding	803.S.005.C1 Nooit genoeg	Jacana jacana	Draadbaan		06.13.2	TRUE									Jacana jacana		06.13.2	TRUE																							
RMNH.AVES.59403	Verleiding	803.V.005.C Etalage Vechten	Turnix suscitator	Draadbaan		06.08.3	TRUE									Turnix suscitator		06.08.3	TRUE																							
RMNH.AVES.60299		tba		Draadbaan			Not filled in																																			
RMNH.AVES.60300		tba		Draadbaan			Not filled in																																			
RMNH.AVES.6167 or RMNH.AVES.5140	LiveScience	tba	Bruiklenen/casuaris in kist (mag evt oude verzenddoos van Oudemans bij. Maten lxbxh=22x29x22 cm)	Extern	TBA	Nu in Zweden, komt terug in april	FALSE	Bruiklenen/casuaris in kist (mag evt oude verzenddoos van Oudemans bij. Maten lxbxh=22x29x22 cm)	TBA	Nu in Zweden, komt terug in april	FALSE																															
RMNH.AVES.6350	Dood	808.G.17	Bubo lacteus	Draadbaan	Draadbaan	03.07.3	TRUE																				Bubo lacteus	Draadbaan	03.07.3	TRUE												
RMNH.AVES.66032	Ontmoeting	802.L.001.001.02 Getijdenzone land / vogels	Rynchops niger	Draadbaan	Draadbaan	12.13.3	TRUE					Rynchops niger	Draadbaan	12.13.3	TRUE																											
RMNH.AVES.7052	Ontmoeting	802.L.001.005.03 Laag 2 - Berg / Nachtdieren - Roofvogels	Gyps fulvus	Draadbaan	Draadbaan	10.03.3	TRUE					Gyps fulvus	Draadbaan	10.03.3	TRUE																											
RMNH.AVES.7354	Ontmoeting	802.L.001.006.02 Laag 2 - Berg / vogels	Dromaius novaehollandiae	Draadbaan	Draadbaan	L.15	TRUE					Dromaius novaehollandiae	Draadbaan	L.15	TRUE																											
RMNH.AVES.81933	Ontmoeting	802.L.001.001.02 Getijdenzone land / vogels	Fratercula arctica	Draadbaan	Draadbaan	12.14.3	TRUE					Fratercula arctica	Draadbaan	12.14.3	TRUE																											
RMNH.AVES.8468	Verleiding	803.N.003.C Feesttaart	Anas clypeata	Toren		TOREN	TRUE									Anas clypeata		TOREN	TRUE																							
RMNH.AVES.8524	Verleiding	803.N.003.C Feesttaart	cygnus buccinator	Toren		TOREN	TRUE									cygnus buccinator		TOREN	TRUE																							
RMNH.AVES.8526	Verleiding	803.N.003.C Feesttaart	cygnus buccinator	Toren		TOREN	TRUE									cygnus buccinator		TOREN	TRUE																							
RMNH.AVES.8711	Verleiding	803.N.007.C4 Prieel	Apteryx mantelli	Toren		TOREN	TRUE									Apteryx mantelli		TOREN	TRUE																							
RMNH.AVES.8712	Verleiding	803.N.007.C4 Prieel	Apteryx mantelli	Toren		TOREN	TRUE									Apteryx mantelli		TOREN	TRUE																							
L.3978158	Verleiding	803.N.010.C3 Letterbak 3	Magnolia	Draadbaan		05.11.3	FALSE									Magnolia		05.11.3	FALSE																							
RMNH.COEL.10532	LiveScience	tba	Millepora tenera	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Millepora tenera	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.14007	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Errina fissurata	Draadbaan	Draadbaan	11.03.2	TRUE					Errina fissurata	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.18313	LiveScience	tba	Hellopora cerulas	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Hellopora cerulas	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.22974	LiveScience	tba	Antipathes grimaldi	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Antipathes grimaldi	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.2822	LiveScience	tba	ubipondae	Draadbaan	Draadbaan	Draadbaan vide	FALSE	ubipondae	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.42300	LiveScience	tba	Porites nigrescens	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Porites nigrescens	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.42310	LiveScience	tba	Dendrophullia sp	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Dendrophullia sp	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.42314	LiveScience	tba	Echinogorgia reticulata	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Echinogorgia reticulata	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.42315	LiveScience	tba	Melithaea ochracea	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Melithaea ochracea	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.42316	LiveScience	tba	Dendrophyllia rarea	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Dendrophyllia rarea	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.42317	LiveScience	tba	Cirrhipathes sprialis	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Cirrhipathes sprialis	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.42318	Verleiding	803.N.005.C3 Niemand!	Halomitra pileus	Draadbaan		05.05.1	TRUE									Halomitra pileus		05.05.1	TRUE																							
RMNH.COEL.42325	Dood	808.P.002	Corallium rubrum	Draadbaan	Draadbaan	04.11.2	TRUE																				Corallium rubrum	Draadbaan	04.11.2	TRUE												
RMNH.COEL.42356	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Pseudodiploria spec.	Draadbaan	Draadbaan	11.03.2	TRUE					Pseudodiploria spec.	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42357	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Merulina spec.	Draadbaan	Draadbaan	11.03.2	TRUE					Merulina spec.	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42358	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Clypeaster spec.	Draadbaan	Draadbaan	10.01.3	FALSE					Clypeaster spec.	Draadbaan	10.01.3	FALSE																											
RMNH.COEL.42359	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Echinopora spec.	Draadbaan	Draadbaan	11.03.2	TRUE					Echinopora spec.	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42360	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Stylophora spec.	Draadbaan	Draadbaan	11.03.2	TRUE					Stylophora spec.	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42361	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Tubipora musica	Draadbaan	Draadbaan	11.03.2	TRUE					Tubipora musica	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42362	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Turbinaria spec.	Draadbaan	Draadbaan	11.03.2	TRUE					Turbinaria spec.	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42363	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Pocillopora spec	Draadbaan	Draadbaan	11.03.2	TRUE					Pocillopora spec	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42364	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Turninaria spec	Draadbaan	Draadbaan	11.03.2	TRUE					Turninaria spec	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42365	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Millepora complanata	Draadbaan	Draadbaan	11.03.2	TRUE					Millepora complanata	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42366	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Stylophora spec.	Draadbaan	Draadbaan	11.03.2	TRUE					Stylophora spec.	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42367	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Porites spec.	Draadbaan	Draadbaan	11.03.2	TRUE					Porites spec.	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.42368	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Acropora spec.	Draadbaan	Draadbaan	11.03.2	TRUE					Acropora spec.	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.4953	LiveScience	tba	Aphanipathes barbadrisis	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Aphanipathes barbadrisis	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.5673	LiveScience	tba	Clenocellia tyra	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Clenocellia tyra	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.6189	LiveScience	tba	Ptergorgia acerosa	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Ptergorgia acerosa	Draadbaan	Draadbaan vide	FALSE																															
RMNH.COEL.9277	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Favia favus	Draadbaan	Draadbaan	11.03.2	TRUE					Favia favus	Draadbaan	11.03.2	TRUE																											
RMNH.COEL.983	LiveScience	tba	Podobacia crustacea	Draadbaan	Draadbaan	Draadbaan vide	FALSE	Podobacia crustacea	Draadbaan	Draadbaan vide	FALSE																															
L.2110811	Verleiding	803.N.010.C4 Letterbak 4	Phenakospermum guyannense (A.Rich.) Endl. ex Miq.	Draadbaan		5.12.1	FALSE									Phenakospermum guyannense (A.Rich.) Endl. ex Miq.		5.12.1	FALSE																							
RMNH.CRUS.D.2828	LiveScience	tba	Krab Lithodes maja	Toren	Toren	18L, kast 084.001	FALSE	Krab Lithodes maja	Toren	18L, kast 084.001	FALSE																															
RMNH.CRUS.D.35109	Dood	808.P.005	Dardanus megistos	Draadbaan	Draadbaan	04.09.3	TRUE																				Dardanus megistos	Draadbaan	04.09.3	TRUE												
RMNH.CRUS.D.4210	LiveScience	tba	reuzenpissebed	Toren	Toren	18L, bovenop kast 134	FALSE	reuzenpissebed	Toren	18L, bovenop kast 134	FALSE																															
RMNH.CRUS.D.47769	Ontmoeting	802.W.002 Schemerzone	Macrocheira kaempferi	Draadbaan	Draadbaan	12.08.1	TRUE					Macrocheira kaempferi	Draadbaan	12.08.1	TRUE																											
RMNH.CRUS.D.57282	Dood	808.P.007	Homarus americanus	Draadbaan	Draadbaan	04.08.3	TRUE																				Homarus americanus	Draadbaan	04.08.3	TRUE												
RMNH.CRUS.D.57283	Dood	808.P.005	Cancer pagurus	Draadbaan	Draadbaan	04.09.3	TRUE																				Cancer pagurus	Draadbaan	04.09.3	TRUE												
RMNH.CRUS.D.57285	Dood	808.P.005	Cancer pagurus	Draadbaan	Draadbaan	04.09.3	TRUE																				Cancer pagurus	Draadbaan	04.09.3	TRUE												
RMNH.CRUS.D.57286	Dood	808.P.005	Pagurus bernhardus (Linnaeus, 1758)	Draadbaan	Draadbaan	04.09.3	TRUE																				Pagurus bernhardus (Linnaeus, 1758)	Draadbaan	04.09.3	TRUE												
RMNH.CRUS.D.57293	Verleiding	803.V.003.C Etalage Dans	Uca tetragonon	Draadbaan		06.06.3	TRUE									Uca tetragonon		06.06.3	TRUE																							
RMNH.CRUS.D.57294	Verleiding	803.V.003.C Etalage Dans	Uca tetragonon	Draadbaan		06.06.3	TRUE									Uca tetragonon		06.06.3	TRUE																							
RMNH.CRUS.D.57309	Ontmoeting	802.W.003 LOPEN OVER DE ZEEBODEM	Panulirus echinatus	Draadbaan	Draadbaan	11.02.1	TRUE					Panulirus echinatus	Draadbaan	11.02.1	TRUE																											
