"REGISTRATIONNUMBER","INST_COLL_SUBCOLL","TRANSFERREASON","PRESERVEDPART","ICOONURL","URL","FULLSCIENTIFICNAME","GENUS","EPITHET"
"RGM.1332244","Macro Vertebrates","","mandibula","","","","Anatosaurus",""
"RGM.1332245","Macro Vertebrates","","coprolith","","","","Tyrannosaurus",""
"RGM.1332246","Macro Vertebrates","","skeleton","","","","Archaeopteryx","lithographica"
"RGM.1332247","Macro Vertebrates","","skin","","","","Triceratops",""
"RGM.1332248","Macro Vertebrates","","egg","","","Dinosaur eggs (nest)","",""
"RGM.1332249","Macro Vertebrates","","skeleton","","","","Stenopterygius",""
"RGM.1332250","Macro Vertebrates","","skeleton","","","","Ichthyosaurus",""
"RGM.1332500","Macro Vertebrates","","skeleton","","","","Triceratops",""
"RGM.133281","Macro Vertebrates","","femur","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133282","Macro Vertebrates","","metacarpus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133313","Macro Vertebrates","Exhibition ""Oerparade"" 0125.01.00","cranium","","","Bison priscus Bojanus, 1825","Bison","priscus"
"RGM.133354","Macro Vertebrates","","metatarsus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133360","Macro Vertebrates","","scapula","","","Bison priscus Bojanus, 1825","Bison","priscus"
"RGM.133402","Macro Vertebrates","","metacarpus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133416","Macro Vertebrates","","costa","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.133435","Macro Vertebrates","","phalange I","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133544","Macro Vertebrates","","tibia","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133561","Macro Vertebrates","","tusk","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.133574","Macro Vertebrates","","vertebra thoracalis","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.133606","Macro Vertebrates","","calcaneum","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133753","Macro Vertebrates","","tibia","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133776","Macro Vertebrates","","astragalus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133802","Macro Vertebrates","","phalange I","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133813","Macro Vertebrates","","phalange I","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.133931","Macro Vertebrates","","metatarsus","","","Equus hydruntinis","Equus","hydruntinis"
"RGM.134013","Macro Vertebrates","","humerus","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.134084","Macro Vertebrates","","molar","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.134098","Macro Vertebrates","","femur","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.134107","Macro Vertebrates","","vertebra thoracalis","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.134122","Macro Vertebrates","","femur","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.134390","Macro Vertebrates","","humerus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.134404","Macro Vertebrates","","tibia","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.134455","Macro Vertebrates","","molar","http://medialib.naturalis.nl/file/id/RGM.134455_1/format/small","http://medialib.naturalis.nl/file/id/RGM.134455_1/format/large","Hippopotamus amphibius L.","Hippopotamus","amphibius"
"RGM.134455","Macro Vertebrates","","molar","http://medialib.naturalis.nl/file/id/RGM.134455_2/format/small","http://medialib.naturalis.nl/file/id/RGM.134455_2/format/large","Hippopotamus amphibius L.","Hippopotamus","amphibius"
"RGM.134530","Macro Vertebrates","","humerus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.134695","Macro Vertebrates","Exhibition ""Oerparade"" 0125.02.00","mandibula","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.134751","Macro Vertebrates","","humerus","","","Panthera spelaea (Goldfuss, 1821)","Panthera","spelaea"
"RGM.134820","Macro Vertebrates","","tibia","","","Mammuthus primigenius Blumenbach, 1799","Mammuthus","primigenius"
"RGM.134889","Macro Vertebrates","","tibia","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
