RMNH.D.3111	LiveScience	tba	Pristis sp.	Zagen van zaagvissen 15-20 stuks	Toren	Toren	4rechts. Klaargezet op 2 plekken. 1) achterin depot. Stelling aan de linker muur, de laatste voor de vluchtdeur, op de bovenste plank  2) voorin, op een metalen blad op de vloer. Rechts bij binnenkomst		FALSE	Pristis sp.	Zagen van zaagvissen 15-20 stuks	Toren	4rechts. Klaargezet op 2 plekken. 1) achterin depot. Stelling aan de linker muur, de laatste voor de vluchtdeur, op de bovenste plank  2) voorin, op een metalen blad op de vloer. Rechts bij binnenkomst	FALSE																																											
RMNH.D.3112	LiveScience	tba	Pristis sp.	Zagen van zaagvissen 15-20 stuks	Toren	Toren	4rechts. Klaargezet op 2 plekken. 1) achterin depot. Stelling aan de linker muur, de laatste voor de vluchtdeur, op de bovenste plank  2) voorin, op een metalen blad op de vloer. Rechts bij binnenkomst		FALSE	Pristis sp.	Zagen van zaagvissen 15-20 stuks	Toren	4rechts. Klaargezet op 2 plekken. 1) achterin depot. Stelling aan de linker muur, de laatste voor de vluchtdeur, op de bovenste plank  2) voorin, op een metalen blad op de vloer. Rechts bij binnenkomst	FALSE																																											
RMNH.D.3113	LiveScience	tba	Pristis sp.	Zagen van zaagvissen 15-20 stuks	Toren	Toren	4rechts. Klaargezet op 2 plekken. 1) achterin depot. Stelling aan de linker muur, de laatste voor de vluchtdeur, op de bovenste plank  2) voorin, op een metalen blad op de vloer. Rechts bij binnenkomst		FALSE	Pristis sp.	Zagen van zaagvissen 15-20 stuks	Toren	4rechts. Klaargezet op 2 plekken. 1) achterin depot. Stelling aan de linker muur, de laatste voor de vluchtdeur, op de bovenste plank  2) voorin, op een metalen blad op de vloer. Rechts bij binnenkomst	FALSE																																											
RMNH.D.3124	LiveScience	tba	Pristis sp.	Zagen van zaagvissen 15-20 stuks	Toren	Toren	4rechts. Klaargezet op 2 plekken. 1) achterin depot. Stelling aan de linker muur, de laatste voor de vluchtdeur, op de bovenste plank  2) voorin, op een metalen blad op de vloer. Rechts bij binnenkomst		FALSE	Pristis sp.	Zagen van zaagvissen 15-20 stuks	Toren	4rechts. Klaargezet op 2 plekken. 1) achterin depot. Stelling aan de linker muur, de laatste voor de vluchtdeur, op de bovenste plank  2) voorin, op een metalen blad op de vloer. Rechts bij binnenkomst	FALSE																																											
RMNH.D.3125	LiveScience	tba	Pristis sp.	Zagen van zaagvissen 15-20 stuks	Toren	Toren	4rechts. Klaargezet op 2 plekken. 1) achterin depot. Stelling aan de linker muur, de laatste voor de vluchtdeur, op de bovenste plank  2) voorin, op een metalen blad op de vloer. Rechts bij binnenkomst		FALSE	Pristis sp.	Zagen van zaagvissen 15-20 stuks	Toren	4rechts. Klaargezet op 2 plekken. 1) achterin depot. Stelling aan de linker muur, de laatste voor de vluchtdeur, op de bovenste plank  2) voorin, op een metalen blad op de vloer. Rechts bij binnenkomst	FALSE																																											
RMNH.ECH.07076	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	tba	??	Draadbaan	Draadbaan	11.02.1		FALSE						tba	??	Draadbaan	11.02.1	FALSE																																						
RMNH.ECH.07340	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Asteroidae	Zeester	Draadbaan	Draadbaan	10.02.1		TRUE						Asteroidae	Zeester	Draadbaan	10.02.1	TRUE																																						
RMNH.ECH.07341	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Asteroidae	Zeester	Draadbaan	Draadbaan	10.02.1		TRUE						Asteroidae	Zeester	Draadbaan	10.02.1	TRUE																																						
RMNH.ECH.07342	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Asteroidae	Zeester	Draadbaan	Draadbaan	11.02.1		TRUE						Asteroidae	Zeester	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07343	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Asteroidae	Zeester	Draadbaan	Draadbaan	11.02.1		TRUE						Asteroidae	Zeester	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07344	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Asterias rubens	Gewone zeester	Draadbaan	Draadbaan	11.02.1		TRUE						Asterias rubens	Gewone zeester	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07345	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Echinoidae	Zee-egel	Draadbaan	Draadbaan	11.02.1		TRUE						Echinoidae	Zee-egel	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07346	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Oriaster spec.	Zeester	Draadbaan	Draadbaan	11.02.1		TRUE						Oriaster spec.	Zeester	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07347	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Echinoidae	Zee-egel	Draadbaan	Draadbaan	11.02.1		TRUE						Echinoidae	Zee-egel	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07349	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Echinoidae	Zee-egel	Draadbaan	Draadbaan	11.02.1		TRUE						Echinoidae	Zee-egel	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07350	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	tba	Zee-egel	Draadbaan	Draadbaan	11.02.1		TRUE						tba	Zee-egel	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07353	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Ophiotrichidae	Slangster	Draadbaan	Draadbaan	11.02.1		TRUE						Ophiotrichidae	Slangster	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07354	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Oreaster spec.	Zeester	Draadbaan	Draadbaan	11.02.1		TRUE						Oreaster spec.	Zeester	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07355	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Luidia spec.	Zeester	Draadbaan	Draadbaan	11.02.1		TRUE						Luidia spec.	Zeester	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07356	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Heterocentrus spec.	Zee-egel	Draadbaan	Draadbaan	10.02.1		TRUE						Heterocentrus spec.	Zee-egel	Draadbaan	10.02.1	TRUE																																						
RMNH.ECH.07357	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Spatangoida	Zee-egel	Draadbaan	Draadbaan	10.02.1		TRUE						Spatangoida	Zee-egel	Draadbaan	10.02.1	TRUE																																						
RMNH.ECH.07359	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Echinopora spec	Steenkoraal	Draadbaan	Draadbaan	11.02.1		TRUE						Echinopora spec	Steenkoraal	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.07360	Ontmoeting	802.W.003 VASTZITTEN OP DE ZEEBODEM	Cidaris spec.	Zee-egel	Draadbaan	Draadbaan	11.02.1		TRUE						Cidaris spec.	Zee-egel	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.125	Verleiding	803.N.003.C Feesttaart	Gracilechinus acutus	zeeegel	Toren		TOREN		FALSE											Gracilechinus acutus	zeeegel		TOREN	FALSE																																	
RMNH.ECH.128	Verleiding	803.N.003.C Feesttaart	Gracilechinus acutus	zeeegel	Toren		TOREN		FALSE											Gracilechinus acutus	zeeegel		TOREN	FALSE																																	
RMNH.ECH.2542	Verleiding	803.N.003.C Feesttaart	Oreaster reticulatus 	"kussenzeester"	Draadbaan		05.02.3		TRUE											Oreaster reticulatus 	"kussenzeester"		05.02.3	TRUE																																	
RMNH.ECH.3753	Verleiding	803.N.003.C Feesttaart	Astropecten irregularis	zeester	Draadbaan		05.02.3		TRUE											Astropecten irregularis	zeester		05.02.3	TRUE																																	
RMNH.ECH.4159	Verleiding	803.N.003.C Feesttaart	Oreaster reticulatus 	"kussenzeester"	Draadbaan		05.02.3		TRUE											Oreaster reticulatus 	"kussenzeester"		05.02.3	TRUE																																	
RMNH.ECH.4676	Verleiding	803.N.003.C Feesttaart	Gracilechinus acutus	zeeegel	Toren		TOREN		FALSE											Gracilechinus acutus	zeeegel		TOREN	FALSE																																	
RMNH.ECH.518	Verleiding	803.N.003.C Feesttaart	Astropecten irregularis	zeester	Draadbaan		05.02.3		TRUE											Astropecten irregularis	zeester		05.02.3	TRUE																																	
RMNH.ECH.7076	Ontmoeting	802.W.003 LOPEN OVER DE ZEEBODEM	Protoreaster nodosus	Zeester	Draadbaan	Draadbaan	11.02.1		TRUE						Protoreaster nodosus	Zeester	Draadbaan	11.02.1	TRUE																																						
RMNH.ECH.7361	Verleiding	803.S.008.C Zonder seks	Linckia laevigata	zeester	Draadbaan		06.12.2		TRUE											Linckia laevigata	zeester		06.12.2	TRUE																																	
RMNH.INS.1085597	Ontmoeting	802.L.001.005.04 Insecten	Therea petiveriana Linnaeus, 1758	Kakkerlak	Vondellaan	Vondellaan	DW.E.08.017		n.v.t.						Therea petiveriana Linnaeus, 1758	Kakkerlak	Vondellaan	DW.E.08.017	n.v.t.																																						
RMNH.INS.1085599	Ontmoeting	802.L.001.005.04 Insecten	Panchlora nivea Linnaeus, 1758	Kakkerlak	Vondellaan	Vondellaan	DW.E.08.017		n.v.t.						Panchlora nivea Linnaeus, 1758	Kakkerlak	Vondellaan	DW.E.08.017	n.v.t.																																						
RMNH.INS.1085612	Ontmoeting	802.L.001.005.04 Insecten	Periplaneta americana Linnaeus, 1758	Grote kakkerlak	Vondellaan	Vondellaan	DW.E.08.017		n.v.t.						Periplaneta americana Linnaeus, 1758	Grote kakkerlak	Vondellaan	DW.E.08.017	n.v.t.																																						
RMNH.INS.1085614	Ontmoeting	802.L.001.005.04 Insecten	Ectobius lapponicus Linnaeus, 1758	Noordse kakkerlak	Vondellaan	Vondellaan	DW.E.08.017		n.v.t.						Ectobius lapponicus Linnaeus, 1758	Noordse kakkerlak	Vondellaan	DW.E.08.017	n.v.t.																																						
RMNH.INS.1085655	Ontmoeting	802.L.001.005.04 Insecten	Cranae luctuosa Bolivar, 1923	Sprinkhaan	Vondellaan	Vondellaan	DW.E.08.017		n.v.t.						Cranae luctuosa Bolivar, 1923	Sprinkhaan	Vondellaan	DW.E.08.017	n.v.t.																																						
RMNH.INS.1085656	Ontmoeting	802.L.001.005.04 Insecten	Aschiphasma annulipes Westwood, 1834	Wandelende tak	Vondellaan	Vondellaan	DW.E.08.017		n.v.t.						Aschiphasma annulipes Westwood, 1834	Wandelende tak	Vondellaan	DW.E.08.017	n.v.t.																																						
RMNH.INS.1085673	Ontmoeting	802.L.001.005.04 Insecten	Termes dirus	Termiet	Vondellaan	Vondellaan	DW.E.08.017		n.v.t.						Termes dirus	Termiet	Vondellaan	DW.E.08.017	n.v.t.																																						
RMNH.INS.108777	Verleiding	803.S.005.C1 Nooit genoeg	Apis mellifera	Honingbij	Vondellaan		Vondellaan		TRUE											Apis mellifera	Honingbij		Vondellaan	TRUE																																	
RMNH.INS.108778	Verleiding	803.S.005.C1 Nooit genoeg	Apis mellifera	Honingbij	Vondellaan		Vondellaan		TRUE											Apis mellifera	Honingbij		Vondellaan	TRUE																																	
RMNH.INS.108779	Verleiding	803.S.005.C1 Nooit genoeg	Apis mellifera	Honingbij	Vondellaan		Vondellaan		TRUE											Apis mellifera	Honingbij		Vondellaan	TRUE																																	
RMNH.INS.108780	Verleiding	803.S.005.C1 Nooit genoeg	Apis mellifera	Honingbij	Vondellaan		Vondellaan		TRUE											Apis mellifera	Honingbij		Vondellaan	TRUE																																	
RMNH.INS.108781	Verleiding	803.V.001.C Etalage Geur	Apis melifera	honingbij	Vondellaan		Vondellaan		TRUE											Apis melifera	honingbij		Vondellaan	TRUE																																	
RMNH.INS.108782	Verleiding	803.V.004.C Etalage Cadeaus	Apis mellifera	honingbij	Draadbaan		06.07.3		TRUE											Apis mellifera	honingbij		06.07.3	TRUE																																	
RMNH.INS.108783	Verleiding	803.S.008.C Zonder seks	Apis mellifera	honingbij	Draadbaan		06.12.2		TRUE											Apis mellifera	honingbij		06.12.2	TRUE																																	
RMNH.INS.108784	Dood	808.C.03.A	Vespa germanica	Wesp	Museum	Draadbaan	GF-TT	los plaatsen	FALSE																													Vespa germanica	Wesp	Draadbaan	GF-TT	FALSE															
RMNH.INS.108874	Dood	808.G.35	Pepsis cf mildei	spinnendoder	Museum	Draadbaan	03.13.2	los plaatsen	TRUE																													Pepsis cf mildei	spinnendoder	Draadbaan	03.13.2	TRUE															
RMNH.INS.1089608	Dood	808.P.007	Magicicada septendecim	17-jarige cicade	Museum	Vondellaan	Max	los onder stolp	TRUE																													Magicicada septendecim	17-jarige cicade	Vondellaan	Max	TRUE															
RMNH.INS.1089639	Verleiding	803.V.006.C Etalage Geluid	Pomponia merula Distant, 1905	Zangcicade	Vondellaan		Vondellaan, Max		TRUE											Pomponia merula Distant, 1905	Zangcicade		Vondellaan, Max	TRUE																																	
RMNH.INS.1089642	Verleiding	803.N.005.C1 Pappa’s	Lethocerus indicus	reuzenwaterwants (giant water bug)	Vondellaan		Vondellaan, Max		TRUE											Lethocerus indicus	reuzenwaterwants (giant water bug)		Vondellaan, Max	TRUE																																	
RMNH.INS.1089770	Verleiding	803.V.006.C Etalage Geluid	Tosena fasciata Fabricius, 1787	Zangcicade	Vondellaan		Vondellaan, Max		TRUE											Tosena fasciata Fabricius, 1787	Zangcicade		Vondellaan, Max	TRUE																																	
RMNH.INS.1089771	Verleiding	803.V.006.C Etalage Geluid	Tosena fasciata Fabricius, 1787	Zangcicade	Vondellaan		Vondellaan, Max		TRUE											Tosena fasciata Fabricius, 1787	Zangcicade		Vondellaan, Max	TRUE																																	
RMNH.INS.1089773	Verleiding	803.V.006.C Etalage Geluid	Tosena fasciata Fabricius, 1787	Zangcicade	Vondellaan		Vondellaan, Max		TRUE											Tosena fasciata Fabricius, 1787	Zangcicade		Vondellaan, Max	TRUE																																	
RMNH.INS.1089774	Verleiding	803.V.006.C Etalage Geluid	Tosena fasciata Fabricius, 1787	Zangcicade	Vondellaan		Vondellaan, Max		TRUE											Tosena fasciata Fabricius, 1787	Zangcicade		Vondellaan, Max	TRUE																																	
RMNH.INS.1089775	Verleiding	803.V.006.C Etalage Geluid	Tosena fasciata Fabricius, 1787	Zangcicade	Vondellaan		Vondellaan, Max		TRUE											Tosena fasciata Fabricius, 1787	Zangcicade		Vondellaan, Max	TRUE																																	
RMNH.INS.1089790	Verleiding	803.V.001.C Etalage Geur	Eristalis pertinax	Kegelbijvlieg	Vondellaan		Vondellaan, Pasquale Ciliberti		TRUE											Eristalis pertinax	Kegelbijvlieg		Vondellaan, Pasquale Ciliberti	TRUE																																	
RMNH.INS.1089791	Verleiding	803.V.001.C Etalage Geur	Eristalis pertinax	Kegelbijvlieg	Vondellaan		Vondellaan, Pasquale Ciliberti		TRUE											Eristalis pertinax	Kegelbijvlieg		Vondellaan, Pasquale Ciliberti	TRUE																																	
RMNH.INS.1089792	Verleiding	803.V.001.C Etalage Geur	Myathropa florea	doodshoofdzweefvlieg	Vondellaan		Vondellaan		TRUE											Myathropa florea	doodshoofdzweefvlieg		Vondellaan	TRUE																																	
RMNH.INS.1089793	Verleiding	803.V.001.C Etalage Geur	Myathropa florea	doodshoofdzweefvlieg	Vondellaan		Vondellaan		TRUE											Myathropa florea	doodshoofdzweefvlieg		Vondellaan	TRUE																																	
RMNH.INS.1089794	Verleiding	803.V.001.C Etalage Geur	Myathropa florea	doodshoofdzweefvlieg	Vondellaan		Vondellaan		TRUE											Myathropa florea	doodshoofdzweefvlieg		Vondellaan	TRUE																																	
RMNH.INS.1089795	Verleiding	803.V.006.C Etalage Geluid	Dinocras cephalotes	Steenvlieg	Vondellaan		Vondellaan, Pasquale Ciliberti		TRUE											Dinocras cephalotes	Steenvlieg		Vondellaan, Pasquale Ciliberti	TRUE																																	
RMNH.INS.1089797	Verleiding	803.V.001.C Etalage Geur	Eristalis tenax	blinde bij	Vondellaan		Vondellaan, Pasquale Ciliberti		TRUE											Eristalis tenax	blinde bij		Vondellaan, Pasquale Ciliberti	TRUE																																	
RMNH.INS.1089798	Verleiding	803.V.001.C Etalage Geur	Eristalis tenax	blinde bij	Vondellaan		Vondellaan, Pasquale Ciliberti		TRUE											Eristalis tenax	blinde bij		Vondellaan, Pasquale Ciliberti	TRUE																																	
RMNH.INS.1089799	Verleiding	803.V.001.C Etalage Geur	Eristalis tenax	blinde bij	Vondellaan		Vondellaan, Pasquale Ciliberti		TRUE											Eristalis tenax	blinde bij		Vondellaan, Pasquale Ciliberti	TRUE																																	
RMNH.INS.1089800	Dood	808.C.03.A	Lucilia sericata	Groene vleesvlieg(en)	Museum	vondellaan		FALSE	FALSE																													Lucilia sericata	Groene vleesvlieg(en)	vondellaan		FALSE															
RMNH.INS.1089801	Dood	808.C.03.A	Lucilia sericata	Groene vleesvlieg(en)	Museum	vondellaan		FALSE	FALSE																													Lucilia sericata	Groene vleesvlieg(en)	vondellaan		FALSE															
RMNH.INS.1089802	Dood	808.C.03.A	Lucilia sericata	Groene vleesvlieg(en)	Museum	vondellaan		FALSE	FALSE																													Lucilia sericata	Groene vleesvlieg(en)	vondellaan		FALSE															
RMNH.INS.1089803	Dood	808.C.03.A	Lucilia sericata	Groene vleesvlieg(en)	Museum	vondellaan		FALSE	FALSE																													Lucilia sericata	Groene vleesvlieg(en)	vondellaan		FALSE															
RMNH.INS.1089804	Dood	808.C.03.A	Lucilia sericata	Groene vleesvlieg(en)	Museum	vondellaan		FALSE	FALSE																													Lucilia sericata	Groene vleesvlieg(en)	vondellaan		FALSE															
RMNH.INS.1089805	Dood	808.C.03.A	Calliphora vomitoria	Blauwe vleesvlieg(en)	Museum	vondellaan		FALSE	FALSE																													Calliphora vomitoria	Blauwe vleesvlieg(en)	vondellaan		FALSE															
RMNH.INS.1089806	Dood	808.C.03.A	Calliphora vomitoria	Blauwe vleesvlieg(en)	Museum	vondellaan		FALSE	FALSE																													Calliphora vomitoria	Blauwe vleesvlieg(en)	vondellaan		FALSE															
RMNH.INS.1089807	Dood	808.C.03.A	Calliphora vomitoria	Blauwe vleesvlieg(en)	Museum	vondellaan		FALSE	FALSE																													Calliphora vomitoria	Blauwe vleesvlieg(en)	vondellaan		FALSE															
RMNH.INS.1089808	Dood	808.C.03.A	Calliphora vomitoria	Blauwe vleesvlieg(en)	Museum	vondellaan		FALSE	FALSE																													Calliphora vomitoria	Blauwe vleesvlieg(en)	vondellaan		FALSE															
RMNH.INS.1089809	Dood	808.C.03.A	Calliphora vomitoria	Blauwe vleesvlieg(en)	Museum	vondellaan		FALSE	FALSE																													Calliphora vomitoria	Blauwe vleesvlieg(en)	vondellaan		FALSE															
RMNH.INS.1089810	Verleiding	803.N.005.C3 Niemand!	Siphlonurus armatus	eendagsvlieg	Onbekend				FALSE											Siphlonurus armatus	eendagsvlieg			FALSE																																	
RMNH.INS.1090166	Verleiding	803.N.003.C Feesttaart	Anax imperator	Grote keizerlibel	Vondellaan		Vondellaan, Max		TRUE											Anax imperator	Grote keizerlibel		Vondellaan, Max	TRUE																																	
RMNH.INS.1090167	Verleiding	803.N.003.C Feesttaart	Anax imperator 	Grote keizerlibel	Vondellaan		Vondellaan, Max		TRUE											Anax imperator 	Grote keizerlibel		Vondellaan, Max	TRUE																																	
RMNH.INS.1090168	Verleiding	803.N.003.C Feesttaart	Orthetrum cancellatum	Gewone oeverlibel	Vondellaan		Vondellaan, Max		TRUE											Orthetrum cancellatum	Gewone oeverlibel		Vondellaan, Max	TRUE																																	
RMNH.INS.1090169	Verleiding	803.N.003.C Feesttaart	Orthetrum cancellatum	Gewone oeverlibel	Vondellaan		Vondellaan, Max		TRUE											Orthetrum cancellatum	Gewone oeverlibel		Vondellaan, Max	TRUE																																	
RMNH.INS.1090170	Verleiding	803.N.003.C Feesttaart	Tibicen plebejus	cicade imago	Vondellaan		Vondellaan		TRUE											Tibicen plebejus	cicade imago		Vondellaan	TRUE																																	
RMNH.INS.1090171	Verleiding	803.N.003.C Feesttaart	Tibicen plebejus 	cicadelarve	Vondellaan		Vondellaan		TRUE											Tibicen plebejus 	cicadelarve		Vondellaan	TRUE																																	
RMNH.INS.1090172	Verleiding	803.N.007.C5 Etagere 4	Leptocorisa oratoria	Rijstwants ouder	Vondellaan		Vondellaan, Max		TRUE											Leptocorisa oratoria	Rijstwants ouder		Vondellaan, Max	TRUE																																	
RMNH.INS.1090173	Verleiding	803.N.007.C5 Etagere 4	Leptocorisa oratoria eitjes	Rijstwants eieren	Vondellaan		Vondellaan, Max		TRUE											Leptocorisa oratoria eitjes	Rijstwants eieren		Vondellaan, Max	TRUE																																	
RMNH.INS.1090924	Verleiding	803.S.008.C Zonder seks	Lachnus roboris	Eikenbladluis 	Vondellaan		ENTO		TRUE											Lachnus roboris	Eikenbladluis 		ENTO	TRUE																																	
RMNH.INS.1090931	Verleiding	803.S.005.C1 Nooit genoeg	Ischnura elegans	Lantaarntje 	Vondellaan		Vondellaan		TRUE											Ischnura elegans	Lantaarntje 		Vondellaan	TRUE																																	
RMNH.INS.1090932	Verleiding	803.S.005.C1 Nooit genoeg	Ischnura elegans	Lantaarntje 	Vondellaan		Vondellaan		TRUE											Ischnura elegans	Lantaarntje 		Vondellaan	TRUE																																	
RMNH.INS.1090933	Verleiding	803.S.005.C1 Nooit genoeg	Ischnura elegans	Lantaarntje 	Vondellaan		Vondellaan		TRUE											Ischnura elegans	Lantaarntje 		Vondellaan	TRUE																																	
RMNH.INS.1090934	Verleiding	803.V.002.C Etalage Opvallen	Platycypha caligata	Juweeljuffer (dancing jewel)	Draadbaan		Draadbaan		FALSE											Platycypha caligata	Juweeljuffer (dancing jewel)		Draadbaan	FALSE																																	
RMNH.INS.1090935	Verleiding	803.V.002.C Etalage Opvallen	Platycypha caligata	Juweeljuffer (dancing jewel)	Draadbaan		Draadbaan		FALSE											Platycypha caligata	Juweeljuffer (dancing jewel)		Draadbaan	FALSE																																	
RMNH.INS.1090936	Verleiding	803.V.002.C Etalage Opvallen	Platycypha caligata	Juweeljuffer (dancing jewel)	Draadbaan		Draadbaan		FALSE											Platycypha caligata	Juweeljuffer (dancing jewel)		Draadbaan	FALSE																																	
RMNH.INS.1093146	LiveScience	tba	Chlorogomphidae	Libelle	Onbekend	TBA	TBA		FALSE	Chlorogomphidae	Libelle	TBA	TBA	FALSE																																											
RMNH.INS.109515	Ontmoeting	802.L.001.005.04 Insecten	Vespa crabro	Hoornaar (koningin)	Onbekend	Onbekend			FALSE						Vespa crabro	Hoornaar (koningin)	Onbekend		FALSE																																						
RMNH.INS.1098961	Verleiding	803.V.001.C Etalage Geur	Proserpinus proserpina Pallas, 1772	teunisbloempijlstaart	Vondellaan		Vondellaan, Rob de Vos		TRUE											Proserpinus proserpina Pallas, 1772	teunisbloempijlstaart		Vondellaan, Rob de Vos	TRUE																																	
RMNH.INS.1098962	Verleiding	803.V.001.C Etalage Geur	Proserpinus proserpina Pallas, 1772	teunisbloempijlstaart	Vondellaan		Vondellaan, Rob de Vos		TRUE											Proserpinus proserpina Pallas, 1772	teunisbloempijlstaart		Vondellaan, Rob de Vos	TRUE																																	
RMNH.INS.1098963	Verleiding	803.V.001.C Etalage Geur	Macroglossum stellatarum	kolibrievlinder	Vondellaan		Vondellaan		TRUE											Macroglossum stellatarum	kolibrievlinder		Vondellaan	TRUE																																	
RMNH.INS.1098964	Verleiding	803.V.001.C Etalage Geur	Deilephila elpenor Linnaeus, 1758	groot avondrood	Vondellaan		Vondellaan, Rob de Vos		TRUE											Deilephila elpenor Linnaeus, 1758	groot avondrood		Vondellaan, Rob de Vos	TRUE																																	
RMNH.INS.1098965	Verleiding	803.V.001.C Etalage Geur	Autographa gamma Linnaeus, 1758	gammauil	Vondellaan		Vondellaan, Rob de Vos		TRUE											Autographa gamma Linnaeus, 1758	gammauil		Vondellaan, Rob de Vos	TRUE																																	
RMNH.INS.1098966	Verleiding	803.V.001.C Etalage Geur	Samia cynthia Drury 1773	Hemelboomvlinder	Vondellaan		Vondellaan, Rob de Vos		TRUE											Samia cynthia Drury 1773	Hemelboomvlinder		Vondellaan, Rob de Vos	TRUE																																	
RMNH.INS.1098967	Verleiding	803.V.001.C Etalage Geur	Bombyx mori Linnaeus, 1758	Zijdevlinder	Vondellaan		Vondelllaan, Rob de Vos		TRUE											Bombyx mori Linnaeus, 1758	Zijdevlinder		Vondelllaan, Rob de Vos	TRUE																																	
RMNH.INS.1103898	Dood	808.P.006	Vanessa atalanta	atalanta	Museum	Vondellaan	Rob	los onder stolp	FALSE																													Vanessa atalanta	atalanta	Vondellaan	Rob	FALSE															
RMNH.INS.1103909	Dood	808.C.03.A	Vespa crabro	Hoornaar	Museum	Draadbaan	GF-TT	los plaatsen	FALSE																													Vespa crabro	Hoornaar	Draadbaan	GF-TT	FALSE															
RMNH.INS.1103911	Dood	808.G.21	tba	autobumper met vliegen	Museum	Extern		FALSE	FALSE																													tba	autobumper met vliegen	Extern		FALSE															
RMNH.INS.1103912	Dood	808.G.24	musca domestica	huisvlieg	Extern	Extern			FALSE																													musca domestica	huisvlieg	Extern		FALSE															
RMNH.INS.1103913	Dood	808.C.03.A	tba	maden	Museum	vondellaan		FALSE	FALSE																													tba	maden	vondellaan		FALSE															
RMNH.INS.1103962	Verleiding	803.V.005.C Etalage Vechten	Pararge aegeria	bont zandoogje	Vondellaan		Vondellaan, Rob de Vos		FALSE											Pararge aegeria	bont zandoogje		Vondellaan, Rob de Vos	FALSE																																	
RMNH.INS.1103963	Verleiding	803.V.005.C Etalage Vechten	Pararge aegeria	bont zandoogje	Vondellaan		Vondellaan, Rob de Vos		FALSE											Pararge aegeria	bont zandoogje		Vondellaan, Rob de Vos	FALSE																																	
RMNH.INS.1104081	Dood	808.P.006	Papilio jacksoni		Museum	Vondellaan	Rob	los onder stolp	TRUE																													Papilio jacksoni		Vondellaan	Rob	TRUE															
RMNH.INS.1104082	Dood	808.P.006	Papilio nireus		Museum	Vondellaan	Rob	los onder stolp	TRUE																													Papilio nireus		Vondellaan	Rob	TRUE															
RMNH.INS.1104083	Dood	808.P.006	Junonia hierta		Museum	Vondellaan	Rob	los onder stolp	TRUE																													Junonia hierta		Vondellaan	Rob	TRUE															
RMNH.INS.1104084	Dood	808.P.006	Euthalia aconthea		Museum	Vondellaan	Rob	los onder stolp	TRUE																													Euthalia aconthea		Vondellaan	Rob	TRUE															
RMNH.INS.1104233	Verleiding	803.V.005.C Etalage Vechten	Lucanus cervus	Vliegend hert	Draadbaan		06.08.3		TRUE											Lucanus cervus	Vliegend hert		06.08.3	TRUE																																	
RMNH.INS.1104235	Verleiding	803.V.001.C Etalage Geur	Osmoderma eremita	Juchtleerkever	Vondellaan		ENTO		TRUE											Osmoderma eremita	Juchtleerkever		ENTO	TRUE																																	
RMNH.INS.1104236	Dood	808.C.03.A	Necrodes littoralis	Oeveraaskever	Museum	Draadbaan	GF-TT	los plaatsen	FALSE																													Necrodes littoralis	Oeveraaskever	Draadbaan	GF-TT	FALSE															
RMNH.INS.1104237	Dood	808.C.03.A	Histeridae spec.	Spiegelkever	Museum	Draadbaan	GF-TT	los plaatsen	FALSE																													Histeridae spec.	Spiegelkever	Draadbaan	GF-TT	FALSE															
RMNH.INS.1104238	Dood	808.C.03.A	Oiceoptoma thoracicum	Oranje aaskever	Museum	Draadbaan	GF-TT	los plaatsen	FALSE																													Oiceoptoma thoracicum	Oranje aaskever	Draadbaan	GF-TT	FALSE															
